owner_link,owner,views,followers,average_rating,google_maps_locatoin_link,long,lat
126,https://opensooq.com/en/mid/member-163699071733,شركة شفا الاردن للمشاريع الاسكانيه ., 159.7K,22 ,4,,,
127,https://opensooq.com/en/mid/member-166059664877,عمر ركيبات للأسكانات , 2.9K,2 ,5,,,
128,https://opensooq.com/en/mid/member-4424899,ammar ammar, 819.2K,69 ,2.9,,,
129,https://opensooq.com/en/mid/member-158037437286,BLUE OLIVE REAL ESTATE AMMAN 2 , 956.6K,127 ,3.2,,,
130,https://opensooq.com/en/shops/شركة-راشين-للاسكان-142775,شركة راشين للاسكان , 2.6M,189 ,4,,,
131,https://opensooq.com/en/mid/عمر_سامي,,,,,,,
132,https://opensooq.com/en/mid/zaddco,Hani Moucattash, 74.9K,3 ,4,,,
133,https://opensooq.com/en/shops/alghidian-الغديان-العقارية-8969037,AlGhidian الغديان العقارية, 572.8K,81 ,3.1,,,
134,https://opensooq.com/en/shops/محمود-الحياري-7797555,محمود الحياري, 2.5M,193 ,3.8,,,
135,https://opensooq.com/en/mid/ahmed109,al-hijjawi real estate , 856.5K,94 ,3.2,,,
136,https://opensooq.com/en/mid/newcars,A , 45.3K,0 ,5,,,
137,https://opensooq.com/en/mid/member-147072994127,قصي , 71.5K,5 ,5,,,
138,https://opensooq.com/en/mid/member-159731789772,طابو العقارية , 218.5K,50 ,3.6,,,
139,https://opensooq.com/en/mid/member-147034741382,Adnan Allouzy , 36K,7 ,0,,,
140,https://opensooq.com/en/mid/member-162247106985,Gold way real estate ., 4.2M,279 ,3.4,,,
141,https://opensooq.com/en/mid/member-1529978407320869,Tawalbeh Moh, 19K,0 ,5,,,
142,https://opensooq.com/en/mid/member-146870250999,محمد , 27.1K,4 ,5,,,
143,https://opensooq.com/en/shops/abdullah-alwamleh-5530849,Abdullah Alwamleh, 703.1K,34 ,2.8,,,
144,https://opensooq.com/en/mid/member-149362943566,شركة نور علي للاسكان , 357.6K,45 ,3.6,,,
145,https://opensooq.com/en/mid/member-10209965418638724,Mohammad Abdallat, 75.8K,2 ,2.7,,,
146,https://opensooq.com/en/shops/شركة-ايمن-سلام-للإسكان-16622275,شركة ايمن سلام للإسكان, 547K,184 ,3.8,,,
147,https://opensooq.com/en/shops/شركه-العدوي-للتطوير-العقاري-18575757,شركه العدوي للتطوير العقاري, 2.7M,233 ,3.1,,,
148,https://opensooq.com/en/mid/member-150202555982,قصي , 1.9K,0 ,0,,,
149,https://opensooq.com/en/mid/member-110897920542398556581,Michael Shomali, 9.2K,0 ,5,,,
150,https://opensooq.com/en/mid/member-165588897436,عبدالكريم شهوان , 4.9K,2 ,0,,,
151,https://opensooq.com/en/mid/member-144707283284,عباد الرحمن , 143.7K,28 ,4,,,
152,https://opensooq.com/en/mid/alaa.aburshyed,alaa abu rshyed, 1K,1 ,0,,,
153,https://opensooq.com/en/mid/member-100867134010734108379,hammood hammood hammood, 9.3K,1 ,0,,,
154,https://opensooq.com/en/mid/member-6872911,حسام اللوزي, 153K,0 ,3.9,,,
155,https://opensooq.com/en/mid/member-10155030077132890,Farouk , 12.1K,0 ,0,,,
156,https://opensooq.com/en/mid/member-146530234159,ابراهيم , 117.2K,9 ,4.2,,,
157,https://opensooq.com/en/mid/member-1715586021.9959389,محمد مسعود , 2.5K,0 ,0,,,
158,https://opensooq.com/en/mid/member-147341204551,هيثم السليم , 138.3K,13 ,5,,,
159,https://opensooq.com/en/mid/member-165315687970,ابو ايهم مقدادي , 35.5K,5 ,4.8,,,
160,https://opensooq.com/en/mid/member-164536855851,مهندس خالد الزعبي, 61.4K,6 ,5,,,
161,https://opensooq.com/en/mid/member-109365550814658890819,حسن الاحمد, 89K,12 ,4.7,,,
162,https://opensooq.com/en/mid/member-591675774,Sam Dababneh , 177.2K,15 ,5,,,
163,https://opensooq.com/en/mid/mamon.alnajjar,جوهرة الأيمان , 473.8K,593 ,3.1,,,
164,https://opensooq.com/en/mid/member-4989551,شركة دار الارقم للإسكان , 280.3K,56 ,3,,,
165,https://opensooq.com/en/mid/member-147665108933,مكتب طريق المطار , 9.1M,785 ,3.8,,,
166,https://opensooq.com/en/mid/member-5327937,awni qiqieh , 6.5K,0 ,0,,,
167,https://opensooq.com/en/mid/member-110992250144503292277,bassam ziyad, 54.1K,8 ,2.3,,,
