id,link,price
95,243026541,https://opensooq.com/en/search/243026541/245-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"120,000 JOD"
96,244575539,https://opensooq.com/en/search/244575539/300-m2-more-than-6-bedrooms-townhouse-for-sale-in-zarqa-jabal-al-abyad,"28,900 JOD"
97,245783557,https://opensooq.com/en/search/245783557/farm-land-for-sale-in-mafraq-nadira,"50,000 JOD"
98,245783487,https://opensooq.com/en/search/245783487/farm-land-for-sale-in-mafraq-nadira,"27,000 JOD"
99,245783419,https://opensooq.com/en/search/245783419/farm-land-for-sale-in-mafraq-nadira,"33,000 JOD"
100,240391765,https://opensooq.com/en/search/240391765/101-m2-2-bedrooms-apartments-for-sale-in-amman-al-bayader,"55,000 JOD"
101,243329039,https://opensooq.com/en/search/243329039/290-m2-4-bedrooms-apartments-for-sale-in-amman-shafa-badran,"128,000 JOD"
102,245205343,https://opensooq.com/en/search/245205343/mixed-use-land-for-sale-in-jerash-other,"100,000 JOD"
103,245777547,https://opensooq.com/en/search/245777547/175-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"105,000 JOD"
104,244165161,https://opensooq.com/en/search/244165161/140-m2-3-bedrooms-apartments-for-sale-in-amman-medina-street,"180,000 JOD"
105,241366549,https://opensooq.com/en/search/241366549/farm-land-for-sale-in-irbid-ham,"118,000 JOD"
106,245783243,https://opensooq.com/en/search/245783243/farm-land-for-sale-in-mafraq-bala-ama,"26,000 JOD"
107,240606885,https://opensooq.com/en/search/240606885/residential-land-for-sale-in-amman-shafa-badran,"37,000 JOD"
108,241433677,https://opensooq.com/en/search/241433677/170-m2-3-bedrooms-apartments-for-sale-in-amman-al-rabiah,
109,244642807,https://opensooq.com/en/search/244642807/165-m2-3-bedrooms-apartments-for-sale-in-amman-jubaiha,"89,000 JOD"
110,244701227,https://opensooq.com/en/search/244701227/237-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"110,000 JOD"
111,245091895,https://opensooq.com/en/search/245091895/115-m2-3-bedrooms-apartments-for-sale-in-amman-jubaiha,"65,000 JOD"
112,241478949,https://opensooq.com/en/search/241478949/670-m2-4-bedrooms-villa-for-sale-in-amman-dabouq,"1,250,000 JOD"
113,244174477,https://opensooq.com/en/search/244174477/120-m2-3-bedrooms-apartments-for-sale-in-amman-daheit-al-rasheed,"82,000 JOD"
114,245004793,https://opensooq.com/en/search/245004793/115-m2-3-bedrooms-apartments-for-sale-in-amman-al-rabiah,"85,000 JOD"
115,245782995,https://opensooq.com/en/search/245782995/farm-land-for-sale-in-mafraq-dahl,"13,000 JOD"
116,245023241,https://opensooq.com/en/search/245023241/135-m2-3-bedrooms-apartments-for-sale-in-irbid-aydoun,12 JOD
117,244057213,https://opensooq.com/en/search/244057213/135-m2-2-bedrooms-apartments-for-sale-in-amman-deir-ghbar,"90,000 JOD"
118,245782931,https://opensooq.com/en/search/245782931/farm-land-for-sale-in-mafraq-nadira,"15,000 JOD"
119,245411087,https://opensooq.com/en/search/245411087/180-m2-3-bedrooms-apartments-for-sale-in-amman-marj-el-hamam,114 JOD
120,242333235,https://opensooq.com/en/search/242333235/250-m2-4-bedrooms-villa-for-sale-in-irbid-johfiyeh,"90,000 JOD"
121,243328867,https://opensooq.com/en/search/243328867/240-m2-4-bedrooms-apartments-for-sale-in-amman-al-mansour,"145,000 JOD"
122,245782863,https://opensooq.com/en/search/245782863/farm-land-for-sale-in-mafraq-bala-ama,"12,000 JOD"
123,245055651,https://opensooq.com/en/search/245055651/175-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"73,000 JOD"
